2026-03-10 14:07:12 - {'id': 1288, 'session_id': '142.250.75.33:443_192.168.137.187:64521', 'timestamp': '2026-03-10T12:05:15.882751100Z', 'protocol': 'TCP', 'length': 74, 'src_ip': '142.250.75.33', 'dst_ip': '192.168.137.187', 'src_port': '443', 'dst_port': '64521', 'seq_num': 0, 'ack_num': 1, 'tcp_payload_len': 0, 'tcp_flags': '0x0012', 'win_size': '65535'}
2026-03-10 14:07:12 - {'id': 1163, 'session_id': '192.168.137.187:64518_216.239.34.223:443', 'timestamp': '2026-03-10T12:05:14.835412400Z', 'protocol': 'TCP', 'length': 78, 'src_ip': '192.168.137.187', 'dst_ip': '216.239.34.223', 'src_port': '64518', 'dst_port': '443', 'seq_num': 0, 'ack_num': 0, 'tcp_payload_len': 0, 'tcp_flags': '0x00c2', 'win_size': '65535'}
2026-03-10 14:07:12 - {'id': 1164, 'session_id': '192.168.137.187:64519_142.250.75.138:443', 'timestamp': '2026-03-10T12:05:14.836853700Z', 'protocol': 'TCP', 'length': 78, 'src_ip': '192.168.137.187', 'dst_ip': '142.250.75.138', 'src_port': '64519', 'dst_port': '443', 'seq_num': 0, 'ack_num': 0, 'tcp_payload_len': 0, 'tcp_flags': '0x00c2', 'win_size': '65535'}
2026-03-10 14:07:12 - {'id': 1165, 'session_id': '192.168.137.187:64520_216.239.34.223:443', 'timestamp': '2026-03-10T12:05:14.838200900Z', 'protocol': 'TCP', 'length': 78, 'src_ip': '192.168.137.187', 'dst_ip': '216.239.34.223', 'src_port': '64520', 'dst_port': '443', 'seq_num': 0, 'ack_num': 0, 'tcp_payload_len': 0, 'tcp_flags': '0x00c2', 'win_size': '65535'}
2026-03-10 14:07:12 - {'id': 1329, 'session_id': '192.168.137.187:64522_173.194.153.6:443', 'timestamp': '2026-03-10T12:05:16.357979200Z', 'protocol': 'TCP', 'length': 78, 'src_ip': '192.168.137.187', 'dst_ip': '173.194.153.6', 'src_port': '64522', 'dst_port': '443', 'seq_num': 0, 'ack_num': 0, 'tcp_payload_len': 0, 'tcp_flags': '0x00c2', 'win_size': '65535'}
2026-03-10 14:07:12 - {'id': 1166, 'session_id': '216.239.34.223:443_192.168.137.187:64518', 'timestamp': '2026-03-10T12:05:14.839116000Z', 'protocol': 'TCP', 'length': 74, 'src_ip': '216.239.34.223', 'dst_ip': '192.168.137.187', 'src_port': '443', 'dst_port': '64518', 'seq_num': 0, 'ack_num': 1, 'tcp_payload_len': 0, 'tcp_flags': '0x0012', 'win_size': '65535'}
2026-03-10 14:07:12 - {'id': 1265, 'session_id': '57.144.245.33:443_192.168.137.187:53969', 'timestamp': '2026-03-10T12:05:15.366337300Z', 'protocol': 'TCP', 'length': 66, 'src_ip': '57.144.245.33', 'dst_ip': '192.168.137.187', 'src_port': '443', 'dst_port': '53969', 'seq_num': 3267, 'ack_num': 2489, 'tcp_payload_len': 0, 'tcp_flags': '0x0010', 'win_size': '286'}
2026-03-10 14:07:12 - {'id': 4922, 'session_id': '142.250.75.33:443_192.168.137.187:64521', 'timestamp': '2026-03-10T12:05:26.636332600Z', 'protocol': 'TCP', 'length': 66, 'src_ip': '142.250.75.33', 'dst_ip': '192.168.137.187', 'src_port': '443', 'dst_port': '64521', 'seq_num': 13254, 'ack_num': 2804, 'tcp_payload_len': 0, 'tcp_flags': '0x0010', 'win_size': '1042'}
2026-03-10 14:07:12 - {'id': 4114, 'session_id': '192.168.137.187:64522_173.194.153.6:443', 'timestamp': '2026-03-10T12:05:24.387165100Z', 'protocol': 'TCP', 'length': 66, 'src_ip': '192.168.137.187', 'dst_ip': '173.194.153.6', 'src_port': '64522', 'dst_port': '443', 'seq_num': 3145, 'ack_num': 2532168, 'tcp_payload_len': 0, 'tcp_flags': '0x0010', 'win_size': '2112'}
2026-03-10 14:07:12 - {'id': 4933, 'session_id': '192.168.137.187:64523_74.125.100.163:443', 'timestamp': '2026-03-10T12:05:26.868052600Z', 'protocol': 'TCP', 'length': 78, 'src_ip': '192.168.137.187', 'dst_ip': '74.125.100.163', 'src_port': '64523', 'dst_port': '443', 'seq_num': 0, 'ack_num': 0, 'tcp_payload_len': 0, 'tcp_flags': '0x00c2', 'win_size': '65535'}
2026-03-10 14:07:12 - {'id': 6904, 'session_id': '192.168.137.187:64524_172.217.132.166:443', 'timestamp': '2026-03-10T12:05:28.947580400Z', 'protocol': 'TCP', 'length': 78, 'src_ip': '192.168.137.187', 'dst_ip': '172.217.132.166', 'src_port': '64524', 'dst_port': '443', 'seq_num': 0, 'ack_num': 0, 'tcp_payload_len': 0, 'tcp_flags': '0x00c2', 'win_size': '65535'}
2026-03-10 14:07:12 - {'id': 4142, 'session_id': '57.144.245.33:443_192.168.137.187:53969', 'timestamp': '2026-03-10T12:05:24.455296100Z', 'protocol': 'TLS', 'length': 264, 'src_ip': '57.144.245.33', 'dst_ip': '192.168.137.187', 'src_port': '443', 'dst_port': '53969', 'seq_num': 3267, 'ack_num': 2489, 'tcp_payload_len': 198, 'tcp_flags': '0x0018', 'win_size': '286'}
2026-03-10 14:07:12 - {'id': 4934, 'session_id': '74.125.100.163:443_192.168.137.187:64523', 'timestamp': '2026-03-10T12:05:26.927020500Z', 'protocol': 'TCP', 'length': 74, 'src_ip': '74.125.100.163', 'dst_ip': '192.168.137.187', 'src_port': '443', 'dst_port': '64523', 'seq_num': 0, 'ack_num': 1, 'tcp_payload_len': 0, 'tcp_flags': '0x0012', 'win_size': '65535'}
2026-03-10 14:07:12 - {'id': 9659, 'session_id': '17.8.136.172:443_192.168.137.187:64516', 'timestamp': '2026-03-10T12:05:36.627660600Z', 'protocol': 'TLS', 'length': 90, 'src_ip': '17.8.136.172', 'dst_ip': '192.168.137.187', 'src_port': '443', 'dst_port': '64516', 'seq_num': 5059, 'ack_num': 2226, 'tcp_payload_len': 24, 'tcp_flags': '0x0018', 'win_size': '69'}
2026-03-10 14:07:12 - {'id': 10015, 'session_id': '192.168.137.187:53968_57.144.248.144:443', 'timestamp': '2026-03-10T12:05:37.667259800Z', 'protocol': 'TCP', 'length': 70, 'src_ip': '192.168.137.187', 'dst_ip': '57.144.248.144', 'src_port': '53968', 'dst_port': '443', 'seq_num': 1375, 'ack_num': 467, 'tcp_payload_len': 0, 'tcp_flags': '0x0011', 'win_size': '2060'}
2026-03-10 14:07:12 - {'id': 10014, 'session_id': '192.168.137.187:64519_142.250.75.138:443', 'timestamp': '2026-03-10T12:05:37.641799600Z', 'protocol': 'TCP', 'length': 54, 'src_ip': '192.168.137.187', 'dst_ip': '142.250.75.138', 'src_port': '64519', 'dst_port': '443', 'seq_num': 4644, 'ack_num': 0, 'tcp_payload_len': 0, 'tcp_flags': '0x0004', 'win_size': '0'}
2026-03-10 14:07:12 - {'id': 10018, 'session_id': '192.168.137.187:64520_216.239.34.223:443', 'timestamp': '2026-03-10T12:05:38.649664000Z', 'protocol': 'TCP', 'length': 54, 'src_ip': '192.168.137.187', 'dst_ip': '216.239.34.223', 'src_port': '64520', 'dst_port': '443', 'seq_num': 2825, 'ack_num': 0, 'tcp_payload_len': 0, 'tcp_flags': '0x0004', 'win_size': '0'}
2026-03-10 14:07:12 - {'id': 8754, 'session_id': '192.168.137.187:64524_172.217.132.166:443', 'timestamp': '2026-03-10T12:05:34.386574700Z', 'protocol': 'TCP', 'length': 70, 'src_ip': '192.168.137.187', 'dst_ip': '172.217.132.166', 'src_port': '64524', 'dst_port': '443', 'seq_num': 3141, 'ack_num': 1692447, 'tcp_payload_len': 0, 'tcp_flags': '0x0010', 'win_size': '2196'}
2026-03-10 14:07:12 - {'id': 10023, 'session_id': '108.177.15.109:993_192.168.137.187:53970', 'timestamp': '2026-03-10T12:06:08.341078500Z', 'protocol': 'TCP', 'length': 66, 'src_ip': '108.177.15.109', 'dst_ip': '192.168.137.187', 'src_port': '993', 'dst_port': '53970', 'seq_num': 6770, 'ack_num': 2250, 'tcp_payload_len': 0, 'tcp_flags': '0x0010', 'win_size': '1048'}
2026-03-10 14:07:12 - {'id': 10024, 'session_id': '108.177.15.109:993_192.168.137.187:53970', 'timestamp': '2026-03-10T12:06:08.346753600Z', 'protocol': 'TCP', 'length': 66, 'src_ip': '108.177.15.109', 'dst_ip': '192.168.137.187', 'src_port': '993', 'dst_port': '53970', 'seq_num': 6770, 'ack_num': 2251, 'tcp_payload_len': 0, 'tcp_flags': '0x0010', 'win_size': '1048'}
2026-03-10 14:07:12 - {'id': 10020, 'session_id': '192.168.137.187:64518_216.239.34.223:443', 'timestamp': '2026-03-10T12:05:38.649664000Z', 'protocol': 'TCP', 'length': 54, 'src_ip': '192.168.137.187', 'dst_ip': '216.239.34.223', 'src_port': '64518', 'dst_port': '443', 'seq_num': 4401, 'ack_num': 0, 'tcp_payload_len': 0, 'tcp_flags': '0x0004', 'win_size': '0'}
2026-03-10 14:07:12 - {'id': 10029, 'session_id': '108.177.15.109:993_192.168.137.187:53970', 'timestamp': '2026-03-10T12:06:10.856498200Z', 'protocol': 'TCP', 'length': 66, 'src_ip': '108.177.15.109', 'dst_ip': '192.168.137.187', 'src_port': '993', 'dst_port': '53970', 'seq_num': 6770, 'ack_num': 2251, 'tcp_payload_len': 0, 'tcp_flags': '0x0011', 'win_size': '1048'}
2026-03-10 14:07:12 - {'id': 10208, 'session_id': '192.168.137.187:53971_57.144.249.33:5222', 'timestamp': '2026-03-10T12:06:23.359340200Z', 'protocol': 'TCP', 'length': 78, 'src_ip': '192.168.137.187', 'dst_ip': '57.144.249.33', 'src_port': '53971', 'dst_port': '5222', 'seq_num': 0, 'ack_num': 0, 'tcp_payload_len': 0, 'tcp_flags': '0x00c2', 'win_size': '65535'}
2026-03-10 14:07:12 - {'id': 10210, 'session_id': '192.168.137.187:53971_57.144.249.33:5222', 'timestamp': '2026-03-10T12:06:23.489967400Z', 'protocol': 'TCP', 'length': 66, 'src_ip': '192.168.137.187', 'dst_ip': '57.144.249.33', 'src_port': '53971', 'dst_port': '5222', 'seq_num': 1, 'ack_num': 1, 'tcp_payload_len': 0, 'tcp_flags': '0x0010', 'win_size': '2065'}
2026-03-10 14:07:12 - {'id': 10212, 'session_id': '192.168.137.187:53971_57.144.249.33:5222', 'timestamp': '2026-03-10T12:06:23.491267700Z', 'protocol': 'TCP', 'length': 75, 'src_ip': '192.168.137.187', 'dst_ip': '57.144.249.33', 'src_port': '53971', 'dst_port': '5222', 'seq_num': 5, 'ack_num': 1, 'tcp_payload_len': 9, 'tcp_flags': '0x0018', 'win_size': '2065'}
2026-03-10 14:07:12 - {'id': 10213, 'session_id': '192.168.137.187:53971_57.144.249.33:5222', 'timestamp': '2026-03-10T12:06:23.491267700Z', 'protocol': 'TCP', 'length': 70, 'src_ip': '192.168.137.187', 'dst_ip': '57.144.249.33', 'src_port': '53971', 'dst_port': '5222', 'seq_num': 14, 'ack_num': 1, 'tcp_payload_len': 4, 'tcp_flags': '0x0018', 'win_size': '2065'}
2026-03-10 14:07:12 - {'id': 10214, 'session_id': '192.168.137.187:53971_57.144.249.33:5222', 'timestamp': '2026-03-10T12:06:23.492464100Z', 'protocol': 'TCP', 'length': 412, 'src_ip': '192.168.137.187', 'dst_ip': '57.144.249.33', 'src_port': '53971', 'dst_port': '5222', 'seq_num': 18, 'ack_num': 1, 'tcp_payload_len': 346, 'tcp_flags': '0x0018', 'win_size': '2065'}
